Date,Ticker,Open,High,Low,Close,Volume,50_Day_SMA,200_Day_SMA,Daily_Return_%
19-10-2021,AAPL,143.65,145.76,143.2,145.36,76378900,143.74,,1.51
20-10-2021,AAPL,145.3,146.32,144.73,145.84,58418800,143.81,,0.34
21-10-2021,AAPL,145.4,146.21,144.49,146.06,61421000,143.88,,0.15
22-10-2021,AAPL,146.26,146.74,145.24,145.29,58883400,143.88,,-0.53
25-10-2021,AAPL,145.28,145.95,144.24,145.24,50720600,143.87,,-0.03
26-10-2021,AAPL,145.91,147.39,145.6,145.9,60893400,143.84,,0.46
27-10-2021,AAPL,145.94,146.3,145.09,145.44,56094900,143.81,,-0.31
28-10-2021,AAPL,146.39,149.66,146.29,149.08,100077900,143.93,,2.5
29-10-2021,AAPL,143.85,146.51,143.06,146.37,124953200,143.99,,-1.82
01-11-2021,AAPL,145.58,146.27,144.42,145.55,74588300,144.01,,-0.56
02-11-2021,AAPL,145.26,148.1,145.25,146.59,69122000,144.01,,0.71
03-11-2021,AAPL,146.95,148.49,146.39,148.02,54511500,144.05,,0.98
04-11-2021,AAPL,148.11,148.94,147.19,147.5,60394600,144.1,,-0.35
05-11-2021,AAPL,148.63,148.93,146.84,148.03,65463900,144.18,,0.36
08-11-2021,AAPL,148.16,148.32,146.94,147.21,55020900,144.22,,-0.56
09-11-2021,AAPL,146.98,148.18,146.84,147.57,56787900,144.18,,0.25
10-11-2021,AAPL,146.8,146.91,144.68,144.75,65187100,144.1,,-1.92
11-11-2021,AAPL,145.76,146.22,144.51,144.7,41000000,144.02,,-0.03
12-11-2021,AAPL,145.24,147.17,144.31,146.77,63804000,143.95,,1.43
15-11-2021,AAPL,147.14,148.62,146.22,146.78,59222800,143.87,,0.01
16-11-2021,AAPL,146.72,148.24,146.13,147.76,59256200,143.76,,0.67
17-11-2021,AAPL,147.76,151.67,147.75,150.2,88807000,143.74,,1.65
18-11-2021,AAPL,150.41,155.26,149.77,154.48,137827700,143.82,,2.85
19-11-2021,AAPL,154.27,157.56,153.17,157.1,117305600,144.05,,1.7
22-11-2021,AAPL,158.21,162.14,157.54,157.56,117467900,144.28,,0.29
23-11-2021,AAPL,157.66,158.33,155.65,157.95,96041900,144.54,,0.24
24-11-2021,AAPL,157.3,158.66,156.21,158.46,69463600,144.8,,0.33
26-11-2021,AAPL,156.15,157.01,153,153.44,76959800,144.96,,-3.17
29-11-2021,AAPL,155.95,157.73,155.38,156.8,88748200,145.24,,2.19
30-11-2021,AAPL,156.56,161.97,156.49,161.75,174048100,145.68,,3.16
01-12-2021,AAPL,163.89,166.65,161,161.23,152052500,146.1,,-0.32
02-12-2021,AAPL,155.33,160.68,154.41,160.25,136739200,146.46,,-0.61
03-12-2021,AAPL,160.5,161.42,156.29,158.37,118023100,146.76,,-1.17
06-12-2021,AAPL,160.76,164.28,160.75,161.77,107497000,147.12,,2.15
07-12-2021,AAPL,165.45,167.9,164.73,167.51,120405400,147.63,,3.54
08-12-2021,AAPL,168.44,172.18,167.04,171.32,116998900,148.28,,2.28
09-12-2021,AAPL,171.16,172.96,170.19,170.81,108923700,148.91,,-0.3
10-12-2021,AAPL,171.45,175.77,170.94,175.6,115402700,149.65,,2.8
13-12-2021,AAPL,177.23,178.22,171.76,171.97,153237000,150.31,,-2.07
14-12-2021,AAPL,171.49,173.93,168.51,170.59,139380400,151,,-0.8
15-12-2021,AAPL,171.35,175.65,168.61,175.45,131063300,151.75,,2.85
16-12-2021,AAPL,175.43,177.25,167.09,168.56,150185800,152.35,,-3.93
17-12-2021,AAPL,166.28,169.75,166.05,167.47,195432700,152.9,,-0.65
20-12-2021,AAPL,164.67,166.92,163.87,166.11,107499100,153.43,,-0.81
21-12-2021,AAPL,167.88,169.48,165.49,169.28,91185900,154.02,,1.91
22-12-2021,AAPL,169.33,172.09,168.46,171.87,92135300,154.69,,1.53
23-12-2021,AAPL,172.08,173.05,171.51,172.5,68356600,155.39,,0.36
27-12-2021,AAPL,173.29,176.55,173.27,176.46,74919600,156.11,,2.3
28-12-2021,AAPL,176.29,177.44,174.7,175.44,79144300,156.79,,-0.58
29-12-2021,AAPL,175.48,176.75,174.32,175.53,62348900,157.43,,0.05
30-12-2021,AAPL,175.62,176.69,174.27,174.38,59773000,158.01,140.29,-0.66
31-12-2021,AAPL,174.27,175.38,173.46,173.76,64062300,158.57,140.57,-0.35
03-01-2022,AAPL,174.01,178.95,173.9,178.1,104487900,159.21,140.88,2.5
04-01-2022,AAPL,178.71,179.01,175.28,175.84,99310400,159.82,141.16,-1.27
05-01-2022,AAPL,175.76,176.3,170.89,171.17,94537600,160.34,141.42,-2.66
06-01-2022,AAPL,168.99,171.54,167.96,168.31,96904000,160.79,141.67,-1.67
07-01-2022,AAPL,169.18,170.4,167.36,168.47,86709100,161.25,141.93,0.1
10-01-2022,AAPL,165.45,168.8,164.56,168.49,106765600,161.64,142.18,0.01
11-01-2022,AAPL,168.62,171.42,167.15,171.32,76138300,162.14,142.45,1.68
12-01-2022,AAPL,172.34,173.38,171.07,171.76,74805200,162.66,142.72,0.26
13-01-2022,AAPL,172.01,172.83,168.1,168.49,84505800,163.1,142.97,-1.9
14-01-2022,AAPL,167.66,170.05,167.42,169.36,80440800,163.53,143.22,0.51
18-01-2022,AAPL,167.83,168.84,165.77,166.16,90956700,163.9,143.44,-1.89
19-01-2022,AAPL,166.35,167.41,162.38,162.66,94815000,164.19,143.63,-2.1
20-01-2022,AAPL,163.4,166.04,160.66,160.98,91420500,164.47,143.82,-1.03
21-01-2022,AAPL,160.89,162.76,158.82,158.92,122848900,164.7,143.98,-1.28
24-01-2022,AAPL,156.59,158.82,151.38,158.15,162294600,164.96,144.12,-0.49
25-01-2022,AAPL,155.57,159.27,153.65,156.35,115798400,165.2,144.26,-1.14
26-01-2022,AAPL,159.99,160.86,154.43,156.26,108275300,165.39,144.39,-0.06
27-01-2022,AAPL,158.96,160.32,154.88,155.8,121954600,165.57,144.52,-0.29
